video_number,primary_view,start_frame,end_frame,position,difficulty,armstand,rotation_type,ss_no,tw_no,final_score
1.0,0.0,7377.0,7462.0,2.0,3.2,0.0,2.0,7.0,0.0,88.0
1.0,0.0,8649.0,8738.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
1.0,0.0,10036.0,10124.0,1.0,3.2,0.0,0.0,5.0,3.0,75.2
1.0,0.0,11444.0,11540.0,2.0,3.2,0.0,2.0,7.0,0.0,72.0
1.0,0.0,12860.0,12969.0,1.0,3.2,0.0,0.0,5.0,3.0,72.0
1.0,0.0,14062.0,14224.0,1.0,3.0,0.0,1.0,7.0,0.0,73.5
1.0,0.0,15355.0,15528.0,1.0,3.0,0.0,1.0,7.0,0.0,66.0
1.0,0.0,16985.0,17113.0,0.0,3.6,1.0,0.0,4.0,5.0,77.4
1.0,0.0,18193.0,18346.0,1.0,3.0,0.0,1.0,7.0,0.0,61.5
1.0,0.0,19696.0,19807.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
1.0,0.0,20799.0,20944.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
1.0,0.0,22525.0,22656.0,2.0,3.2,0.0,2.0,7.0,0.0,67.2
1.0,0.0,24120.0,24227.0,2.0,3.3,0.0,0.0,7.0,0.0,89.1
1.0,0.0,25360.0,25512.0,1.0,3.0,0.0,1.0,7.0,0.0,73.5
1.0,0.0,26449.0,26589.0,1.0,3.0,0.0,1.0,7.0,0.0,76.5
1.0,0.0,27882.0,27962.0,1.0,3.2,0.0,0.0,5.0,3.0,81.6
1.0,0.0,28948.0,29076.0,1.0,2.9,0.0,1.0,5.0,2.0,72.5
1.0,0.0,30395.0,30504.0,1.0,3.2,0.0,0.0,5.0,3.0,76.8
1.0,0.0,31736.0,31843.0,1.0,3.6,0.0,0.0,5.0,5.0,59.4
1.0,0.0,33341.0,33452.0,0.0,3.2,1.0,0.0,4.0,3.0,81.6
1.0,0.0,34815.0,34963.0,2.0,3.7,0.0,1.0,9.0,0.0,81.4
1.0,0.0,36413.0,36493.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
1.0,0.0,37673.0,37768.0,1.0,3.0,0.0,1.0,7.0,0.0,58.5
1.0,0.0,38916.0,39029.0,1.0,3.2,0.0,0.0,5.0,3.0,78.4
1.0,0.0,40506.0,40631.0,0.0,3.6,1.0,0.0,4.0,5.0,81.0
1.0,0.0,41926.0,42029.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
1.0,0.0,43276.0,43360.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
